id,family,entry_setting,min_stop_atr,rr,base_trades,base_win_rate_pct,base_net_usd,base_profit_factor,base_closed_trade_max_drawdown_usd,base_average_full_week_usd,base_worst_full_week_usd,base_positive_weeks_pct,base_losing_weeks,base_days_at_least_20,base_days_at_least_20_pct,base_weeks_at_least_100,base_weeks_at_least_100_pct,base_H1_net_usd,base_H2_net_usd,stress_trades,stress_win_rate_pct,stress_net_usd,stress_profit_factor,stress_closed_trade_max_drawdown_usd,stress_average_full_week_usd,stress_worst_full_week_usd,stress_positive_weeks_pct,stress_losing_weeks,stress_days_at_least_20,stress_days_at_least_20_pct,stress_weeks_at_least_100,stress_weeks_at_least_100_pct,stress_H1_net_usd,stress_H2_net_usd,eligible,failed_gates
rsi2_20_stop1.25_rr1.00,rsi2,20.0,1.25,1.0,1737,47.2078,-452.265,0.8790869785605533,483.44800000049713,-9.371941176470589,-70.88,27.45098039215686,37,8,3.0651340996168583,0,0.0,-245.056,-207.209,1725,46.3768,-657.813,0.8317951941118629,675.6900000000597,-13.137470588235294,-74.78,21.568627450980394,40,8,3.0651340996168583,0,0.0,-366.732,-291.081,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop0.75_rr0.60,sweep,12.0,0.75,0.6,529,58.2231,-104.909,0.8576572860597141,122.46100000013777,-2.1892156862745096,-37.653,43.13725490196079,29,0,0.0,0,0.0,-7.308,-97.601,529,57.0888,-153.809,0.8066365784974111,171.4010000000232,-3.1472549019607845,-39.193,39.21568627450981,31,0,0.0,0,0.0,-31.097,-122.712,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop0.75_rr0.85,sweep,12.0,0.75,0.85,527,50.4744,-119.517,0.8632911826774775,150.32300000009337,-2.5670980392156864,-37.179,43.13725490196079,29,0,0.0,0,0.0,-17.439,-102.078,527,48.9564,-182.017,0.8067860588992568,209.44700000002612,-3.7947450980392157,-38.694,33.333333333333336,34,0,0.0,0,0.0,-45.656,-136.361,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop0.75_rr1.00,sweep,12.0,0.75,1.0,526,46.1977,-154.597,0.8354673679481572,182.42100000012337,-3.3097254901960786,-36.895,41.1764705882353,30,0,0.0,0,0.0,-17.77,-136.827,526,44.8669,-242.237,0.7624307604192645,268.46400000002086,-5.0320784313725495,-38.395,35.294117647058826,33,0,0.0,0,0.0,-42.631,-199.606,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop1.25_rr0.60,sweep,12.0,1.25,0.6,518,58.8803,-93.698,0.8946158457510599,129.43100000005373,-2.134549019607843,-36.402,43.13725490196079,29,0,0.0,0,0.0,15.953,-109.651,518,56.9498,-166.084,0.8264806979052203,183.75700000001862,-3.5581960784313726,-37.302,35.294117647058826,33,0,0.0,0,0.0,-11.803,-154.281,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop1.25_rr0.85,sweep,12.0,1.25,0.85,517,52.8046,-72.855,0.9285749999263435,159.4770000000444,-1.8713725490196078,-28.594,47.05882352941177,27,1,0.3831417624521073,0,0.0,37.447,-110.302,517,51.0638,-138.003,0.8724261613126751,189.2439999999692,-3.156529411764706,-32.858,39.21568627450981,31,1,0.3831417624521073,0,0.0,9.116,-147.119,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_12_stop1.25_rr1.00,sweep,12.0,1.25,1.0,516,49.6124,-72.662,0.9324952921731304,180.61400000004141,-1.9548235294117648,-28.46,47.05882352941177,27,1,0.3831417624521073,0,0.0,60.542,-133.204,516,47.6744,-163.425,0.8579580023293292,219.12199999996724,-3.7442941176470588,-29.66,37.254901960784316,32,1,0.3831417624521073,0,0.0,22.403,-185.828,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_24_stop0.75_rr0.60,sweep,24.0,0.75,0.6,276,57.971,-62.687,0.8449715351246558,77.98800000004731,-1.303019607843137,-19.708,43.13725490196079,27,0,0.0,0,0.0,2.133,-64.82,276,56.5217,-92.533,0.7884524816533514,102.50700000001228,-1.8890196078431372,-20.855,39.21568627450981,29,0,0.0,0,0.0,-11.88,-80.653,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_24_stop0.75_rr0.85,sweep,24.0,0.75,0.85,276,52.1739,-25.581,0.9437769098727944,64.37700000004043,-0.6268823529411764,-23.078,50.98039215686274,23,0,0.0,0,0.0,3.484,-29.065,276,51.087,-49.435,0.8982249324724834,82.61100000001622,-1.0973529411764706,-24.393,50.98039215686274,23,0,0.0,0,0.0,-6.273,-43.162,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year
sweep_24_stop0.75_rr1.00,sweep,24.0,0.75,1.0,275,47.6364,-57.496,0.883743360272912,82.76100000005653,-1.2834705882352941,-29.844,50.98039215686274,23,0,0.0,0,0.0,4.714,-62.21,275,46.5455,-103.732,0.8068564363809567,124.07000000000195,-2.193980392156863,-30.644,45.09803921568628,26,0,0.0,0,0.0,-4.388,-99.344,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year
sweep_24_stop1.25_rr0.60,sweep,24.0,1.25,0.6,272,59.9265,-21.569,0.9532286114519047,71.39500000002266,-0.5347843137254902,-19.412,49.01960784313726,25,0,0.0,0,0.0,31.43,-52.999,272,58.0882,-63.331,0.8735130579278155,100.57299999998527,-1.3544313725490196,-22.583,45.09803921568628,27,0,0.0,0,0.0,20.743,-84.074,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_24_stop1.25_rr0.85,sweep,24.0,1.25,0.85,272,53.6765,-15.197,0.9713466886635509,82.70100000002229,-0.4770980392156863,-19.228,49.01960784313726,25,0,0.0,0,0.0,31.003,-46.2,272,52.9412,-40.653,0.9272624798711738,96.32099999998123,-0.9789803921568628,-20.343,47.05882352941177,26,0,0.0,0,0.0,22.613,-63.266,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
sweep_24_stop1.25_rr1.00,sweep,24.0,1.25,1.0,271,51.2915,1.726,1.0031265000768512,85.2860000000114,-0.18558823529411772,-35.635,49.01960784313726,25,0,0.0,0,0.0,48.742,-47.016,271,50.9225,-20.871,0.9639223373471468,91.4609999999788,-0.6325882352941177,-36.435,49.01960784313726,25,0,0.0,0,0.0,36.346,-57.217,False,win_rate_below_60|base_profit_factor|stress_profit_factor|negative_half_year|positive_weeks_below_50
